;"referenceName";"vernacularName";"type";"family"
;"Mimus gilvus (Vieillot, 1808)";"Moqueur des savanes, Grive des savanes, Moquia";"Passeriformes (Passereaux)";"Mimidae"
;"Mimus polyglottos (Linnaeus, 1758)";"Moqueur polyglotte";"Passeriformes (Passereaux)";"Mimidae"
;"Mionectes macconnelli (Chubb, 1919)";"Pipromorphe de McConnell";"Passeriformes (Passereaux)";"Tyrannidae"
;"Mionectes oleagineus (Lichtenstein, 1823)";"Pipromorphe roussâtre";"Passeriformes (Passereaux)";"Tyrannidae"
;"Mniotilta varia (Linnaeus, 1766)";"Paruline noire et blanche, Sylvette noire et blanche";"Passeriformes (Passereaux)";"Parulidae"
;"Molothrus ater (Boddaert, 1783)";"Vacher à tête brune";"Passeriformes (Passereaux)";"Icteridae"
;"Molothrus bonariensis (Gmelin, 1789)";"Vacher luisant";"Passeriformes (Passereaux)";"Icteridae"
;"Molothrus bonariensis minimus Dalmas, 1900";;"Passeriformes (Passereaux)";"Icteridae"
;"Molothrus oryzivorus (Gmelin, 1788)";"Vacher géant";"Passeriformes (Passereaux)";"Icteridae"
;"Momotus momota (Linnaeus, 1766)";"Motmot houtouc";"Coraciiformes (Guêpiers)";"Momotidae"
;"Monasa atra (Boddaert, 1783)";"Barbacou noir";"Piciformes (Pics)";"Bucconidae"
;"Monticola saxatilis (Linnaeus, 1758)";"Monticole de roche, Merle de roche";"Passeriformes (Passereaux)";"Saxicolidae"
;"Monticola solitarius (Linnaeus, 1758)";"Monticole bleu, Merle bleu";"Passeriformes (Passereaux)";"Saxicolidae"
;"Montifringilla nivalis (Linnaeus, 1766)";"Niverolle alpine, Niverolle des Alpes";"Passeriformes (Passereaux)";"Passeridae"
;"Morphnus guianensis (Daudin, 1800)";"Harpie huppée";"Accipitriformes";"Accipitridae"
;"Morus bassanus (Linnaeus, 1758)";"Fou de Bassan";"Pelecaniformes";"Sulidae"
;"Morus capensis (Lichtenstein, 1823)";"Fou du Cap";"Pelecaniformes";"Sulidae"
;"Morus serrator (G. R. Gray, 1843)";"Fou austral";"Pelecaniformes";"Sulidae"
;"Motacilla alba alba Linnaeus, 1758";"Bergeronnette grise";"Passeriformes (Passereaux)";"Motacillidae"
;"Motacilla alba Linnaeus, 1758";"Bergeronnette grise";"Passeriformes (Passereaux)";"Motacillidae"
