referenceName;vernacularName ;type ;family
Elanus caeruleus (Desfontaines, 1789);êlanion blanc;Accipitriformes;Accipitridae
Elanus leucurus Vieillot, 1818;êlanion Ö queue blanche;Accipitriformes;Accipitridae
Emberiza aureola Pallas, 1773;Bruant aurÇole;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza bruniceps Brandt, 1841;Bruant Ö tàte rousse;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza caesia Cretzschmar, 1826;Bruant cendrillard;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza calandra Linnaeus, 1758;Bruant proyer;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza chrysophrys Pallas, 1776;Bruant Ö sourcils jaunes;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza cia Linnaeus, 1766;Bruant fou;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza cirlus Linnaeus, 1758;Bruant zizi;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza citrinella Linnaeus, 1758;Bruant jaune;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza hortulana Linnaeus, 1758;Bruant ortolan;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza leucocephalos S. G. Gmelin, 1771;Bruant Ö calotte blanche;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza melanocephala Scopoli, 1769;Bruant mÇlanocÇphale;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza pusilla Pallas, 1776;Bruant nain;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza rustica Pallas, 1776;Bruant rustique;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza rutila Pallas, 1776;Bruant roux;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza schoeniclus (Linnaeus, 1758);Bruant des roseaux;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza schoeniclus schoeniclus (Linnaeus, 1758);;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza schoeniclus turonensi Steinbacher, 1930;;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza schoeniclus witherbyi Jordans, 1923;;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberiza spodocephala Pallas, 1776;Bruant masquÇ;Passeriformes (Passereaux);Emberizidae (Bruants)
Emberizoides herbicola (Vieillot, 1817);Grand Tardivole;Passeriformes (Passereaux);Thraupidae
Emberizoides herbicola sphenurus (Vieillot, 1818);;Passeriformes (Passereaux);Thraupidae
Empidonax alnorum Brewster, 1895;Moucherolle des aulnes;Passeriformes (Passereaux);Tyrannidae
Empidonax flaviventris (W. M. Baird & Baird, 1843);Moucherolle Ö ventre jaune;Passeriformes (Passereaux);Tyrannidae
Empidonax minimus (Baird & Baird, 1843);;Passeriformes (Passereaux);Tyrannidae
Empidonomus aurantioatrocristatus (d'Orbigny & Lafresnaye, 1837);Tyran oriflamme;Passeriformes (Passereaux);Tyrannidae
Empidonomus varius (Vieillot, 1818);Tyran tachetÇ;Passeriformes (Passereaux);Tyrannidae
Empidonomus varius rufinus (Spix, 1825);;Passeriformes (Passereaux);Tyrannidae
Empidonomus varius varius (Vieillot, 1818);;Passeriformes (Passereaux);Tyrannidae
Eopsaltria flaviventris Sharpe, 1903;Miro Ö ventre jaune, Rossignol Ö ventre jaune;Passeriformes (Passereaux);Petroicidae
